OID,ec5_uuid,created_at,uploaded_at,title,1_Name_of_the_data_c,2_Date_of_Data_colle,3_Girth_of_the_tree_,4_Time_of_Data_colle,5_Name_of_the_tree__,Lat,Long,accuracy_6_Please_add_locatio,UTM_Northing_6_Please_add_locatio,UTM_Easting_6_Please_add_locatio,UTM_Zone_6_Please_add_locatio,7_Height_of_the_tree,8_Type_of_tree,9_Type_of_tree,10_Whether_fruiting_,11_Whether_flowering,12_Type_of_Leaves,13_Please_take_a_pho,14_Please_click_the_,15_Health_of_the_tre,16_Whether_bird_nest,17_Canopy_cover,18_Any_other_comment
21,48fbf789-490b-4776-909a-ec424e0c8b06,2024-11-10T07:54:01.000Z,2024-11-10T08:01:29.000Z,48fbf789-490b-4776-909a-ec424e0c8b06,Shailesh Kumar,10-11-2024,138,13:23,Palm,18.455016,73.855072,5,2040910,379103,43Q,39,Exotic ,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=48fbf789-490b-4776-909a-ec424e0c8b06_1731225229.jpg,,Looks Good ,no,sparse,
22,10f41856-e8ee-4ad2-934f-b6c96d62594b,2024-11-10T07:53:09.000Z,2024-11-10T07:53:16.000Z,10f41856-e8ee-4ad2-934f-b6c96d62594b,Dattatraya Chaudhari,10-11-2024,30,13:21,Saptaparni,18.455042,73.855052,4,2040913,379101,43Q,15,Native,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=10f41856-e8ee-4ad2-934f-b6c96d62594b_1731225154.jpg,,Looks Good ,no,sparse,
23,d070e16e-f1fa-4fd5-b38c-d64e175ef100,2024-11-10T07:52:45.000Z,2024-11-10T07:53:48.000Z,d070e16e-f1fa-4fd5-b38c-d64e175ef100,Vaishnavi Malpani,06-04-2000,45,13:21,Gulmohar,18.457764,73.853389,3,2041215,378927,43Q,14,Native,Evergreen ,Yes,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=d070e16e-f1fa-4fd5-b38c-d64e175ef100_1731225148.jpg,,Looks Good ,no,Dense,
24,d4d7bf0d-8533-4869-a01a-c82bc68d2c06,2024-11-10T07:52:32.000Z,2024-11-10T08:01:24.000Z,d4d7bf0d-8533-4869-a01a-c82bc68d2c06,Shailesh Kumar,10-11-2024,32,13:21,Saptparni,18.45511,73.855041,5,2040920,379099,43Q,15,Native,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=d4d7bf0d-8533-4869-a01a-c82bc68d2c06_1731225139.jpg,,Looks Good ,no,sparse,
25,94a6c9f1-5d64-4c85-af23-ad12dffbc3a0,2024-11-10T07:52:22.000Z,2024-11-10T07:53:00.000Z,94a6c9f1-5d64-4c85-af23-ad12dffbc3a0,Vijay bohra,10-11-2024,50,13:21,Gulmohar,18.457841,73.853438,4,2041224,378932,43Q,15,Exotic ,Evergreen ,Yes,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=94a6c9f1-5d64-4c85-af23-ad12dffbc3a0_1731225115.jpg,,Looks Good ,no,Dense,Nil
26,9eee3083-dd59-463f-91d6-c599ed6b0042,2024-11-10T07:51:51.000Z,2024-11-10T07:52:40.000Z,9eee3083-dd59-463f-91d6-c599ed6b0042,Supriya Dipak Bakal,10-11-2024,30,13:20,Gulmohar tree,18.457769,73.853514,4,2041216,378940,43Q,16,Exotic ,Evergreen ,Yes,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=9eee3083-dd59-463f-91d6-c599ed6b0042_1731225099.jpg,,Looks Good ,no,Dense,
27,5bd130a1-ac0f-427c-bebc-1586c9645076,2024-11-10T07:51:30.000Z,2024-11-10T07:51:36.000Z,5bd130a1-ac0f-427c-bebc-1586c9645076,Trupti Pundekar,10-11-2024,90,13:19,Gulmohar,18.455361,73.855073,17,2040948,379103,43Q,20,Exotic ,Evergreen ,No,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=5bd130a1-ac0f-427c-bebc-1586c9645076_1731225068.jpg,,Looks Good ,no,moderate,Strong
28,eb41e410-724c-4180-87fd-66675587c0b9,2024-11-10T07:51:20.000Z,2024-11-10T07:51:29.000Z,eb41e410-724c-4180-87fd-66675587c0b9,Rohit kumbhar,10-11-2024,45,13:19,Saptparni,18.45513,73.855082,3,2040922,379104,43Q,20,Native,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=eb41e410-724c-4180-87fd-66675587c0b9_1731225056.jpg,,Looks Good ,no,sparse,Good
29,d9cd1a11-a1a2-4366-aaa0-bc138677d402,2024-11-10T07:51:12.000Z,2024-11-10T07:53:46.000Z,d9cd1a11-a1a2-4366-aaa0-bc138677d402,Vaishnavi Malpani,06-04-2000,45,13:20,Gulmohar,18.457776,73.853582,4,2041216,378947,43Q,14,Native,Evergreen ,Yes,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=d9cd1a11-a1a2-4366-aaa0-bc138677d402_1731225056.jpg,,Looks Good ,no,Dense,
30,689dac98-a1ef-41dd-ace0-092e68893336,2024-11-10T07:51:04.000Z,2024-11-10T07:51:11.000Z,689dac98-a1ef-41dd-ace0-092e68893336,Dattatraya Chaudhari,10-11-2024,15,13:19,Saptaparni,18.455101,73.855063,4,2040919,379102,43Q,5,Native,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=689dac98-a1ef-41dd-ace0-092e68893336_1731225051.jpg,,Looks Good ,no,sparse,
31,0fdbf426-eb63-42a4-933c-1fe558960a98,2024-11-10T07:50:56.000Z,2024-11-10T08:01:19.000Z,0fdbf426-eb63-42a4-933c-1fe558960a98,Shailesh Kumar,10-11-2024,55,13:19,Saptparni,18.455155,73.855017,6,2040925,379097,43Q,11,Native,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=0fdbf426-eb63-42a4-933c-1fe558960a98_1731225040.jpg,,Looks Good ,no,sparse,
32,923741e0-fbe4-4d71-b8cd-cfd3b52f306d,2024-11-10T07:50:20.000Z,2024-11-10T07:52:57.000Z,923741e0-fbe4-4d71-b8cd-cfd3b52f306d,Vijay bohra,10-11-2024,45,13:18,Gulmohar,18.45781,73.853625,4,2041220,378952,43Q,15,Exotic ,Evergreen ,Yes,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=923741e0-fbe4-4d71-b8cd-cfd3b52f306d_1731224995.jpg,,Looks Good ,no,Dense,Nil
33,11df96e3-6ad8-43be-9523-8806b5ef1015,2024-11-10T07:49:10.000Z,2024-11-10T07:52:38.000Z,11df96e3-6ad8-43be-9523-8806b5ef1015,Supriya Dipak Bakal,10-11-2024,45,13:17,Kanchan,18.457728,73.85401,4,2041211,378992,43Q,14,Native,Deciduous ,No,yes,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=11df96e3-6ad8-43be-9523-8806b5ef1015_1731224934.jpg,,Looks Good ,no,moderate,
34,e1249582-938d-4a5d-8829-92cd5d3197c3,2024-11-10T07:49:02.000Z,2024-11-10T07:53:44.000Z,e1249582-938d-4a5d-8829-92cd5d3197c3,Vaishnavi Malpani,10-11-2000,40,13:17,Mango,18.457791,73.853916,4,2041218,378982,43Q,12,Native,Evergreen ,Yes,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=e1249582-938d-4a5d-8829-92cd5d3197c3_1731224892.jpg,,Looks Good ,no,Dense,
35,692db8c4-919f-4bdb-b86e-77bbc6a7d2c7,2024-11-10T07:48:59.000Z,2024-11-10T07:49:05.000Z,692db8c4-919f-4bdb-b86e-77bbc6a7d2c7,Dattatraya Chaudhari,10-11-2024,400,13:17,Palm Tree,,,,,,,15,Exotic ,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=692db8c4-919f-4bdb-b86e-77bbc6a7d2c7_1731224919.jpg,,Looks Good ,no,sparse,
36,f7b8ed76-7963-47b5-9b1f-7e61d72f7fe6,2024-11-10T07:48:56.000Z,2024-11-10T08:01:14.000Z,f7b8ed76-7963-47b5-9b1f-7e61d72f7fe6,Shailesh Kumar,10-11-2024,135,13:17,Palm,18.45518,73.855016,8,2040928,379097,43Q,48,Exotic ,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=f7b8ed76-7963-47b5-9b1f-7e61d72f7fe6_1731224925.jpg,,Looks Good ,no,sparse,
37,7aa1cd11-e5db-4aa7-97e6-f11d1fac44d5,2024-11-10T07:48:51.000Z,2024-11-10T07:49:01.000Z,7aa1cd11-e5db-4aa7-97e6-f11d1fac44d5,Rohit kumbhar,10-11-2024,20,13:17,Badam,18.455192,73.855031,4,2040929,379098,43Q,30,Native,Evergreen ,Yes,yes,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=7aa1cd11-e5db-4aa7-97e6-f11d1fac44d5_1731224914.jpg,,Looks Good ,no,moderate,Good
38,f0c0b4b0-e87f-42ff-a79a-c93c9699a5c0,2024-11-10T07:48:51.000Z,2024-11-10T07:48:56.000Z,f0c0b4b0-e87f-42ff-a79a-c93c9699a5c0,Trupti Pundekar,10-11-2024,60,13:16,Saptparni,18.455237,73.855214,21,2040934,379118,43Q,20,Native,Evergreen ,No,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=f0c0b4b0-e87f-42ff-a79a-c93c9699a5c0_1731224903.jpg,,Looks Good ,Yes,moderate,Good
39,fea35eb4-b3e8-4d3e-be09-c5841f46c353,2024-11-10T07:48:37.000Z,2024-11-10T07:48:44.000Z,fea35eb4-b3e8-4d3e-be09-c5841f46c353,Souvic,10-11-2024,250,13:16,Benth,18.456572,73.857222,4,2041081,379331,43Q,20,Exotic ,Deciduous ,No,no,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=fea35eb4-b3e8-4d3e-be09-c5841f46c353_1731224869.jpg,,Looks Good ,no,sparse,The tree is getting cut near construction site
40,91f41d1a-371c-4ec2-9abd-cb161716eab7,2024-11-10T07:47:14.000Z,2024-11-10T07:52:55.000Z,91f41d1a-371c-4ec2-9abd-cb161716eab7,Vijay bohra,10-11-2024,30,13:16,Gulmohar,18.457816,73.853894,4,2041220,378980,43Q,12,Exotic ,Evergreen ,Yes,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=91f41d1a-371c-4ec2-9abd-cb161716eab7_1731224818.jpg,,Looks Good ,no,Dense,Nil
41,64c75ccd-c679-482e-a6fa-13ea92776cc3,2024-11-10T07:47:04.000Z,2024-11-10T07:52:35.000Z,64c75ccd-c679-482e-a6fa-13ea92776cc3,Supriya Dipak Bakal,10-11-2024,15,13:15,Blackberry jambul,18.457701,73.854012,4,2041208,378993,43Q,14,Native,Evergreen ,Yes,yes,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=64c75ccd-c679-482e-a6fa-13ea92776cc3_1731224809.jpg,,Looks Good ,no,moderate,
42,297c7901-1deb-4d11-ba22-bd1f1437e748,2024-11-10T07:47:01.000Z,2024-11-10T08:01:09.000Z,297c7901-1deb-4d11-ba22-bd1f1437e748,Shailesh Kumar,10-11-2024,130,13:15,Palm,18.455171,73.855003,4,2040927,379095,43Q,35,Exotic ,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=297c7901-1deb-4d11-ba22-bd1f1437e748_1731224808.jpg,,Looks Good ,no,sparse,
43,564a148d-fc4c-4896-8b54-07844fa67590,2024-11-10T07:46:51.000Z,2024-11-10T07:46:59.000Z,564a148d-fc4c-4896-8b54-07844fa67590,Dattatraya Chaudhari,10-11-2024,200,13:15,Rain Tree,18.455216,73.854998,4,2040932,379095,43Q,45,Native,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=564a148d-fc4c-4896-8b54-07844fa67590_1731224799.jpg,,Looks Good ,Yes,Dense,
44,90e55e72-aa62-4fc7-997e-37f8dbcdb341,2024-11-10T07:46:49.000Z,2024-11-10T07:53:41.000Z,90e55e72-aa62-4fc7-997e-37f8dbcdb341,Vaishnavi Malpani,10-11-2000,26,13:15,Kanchan,18.457805,73.85398,4,2041219,378989,43Q,16,Native,Deciduous ,No,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=90e55e72-aa62-4fc7-997e-37f8dbcdb341_1731224792.jpg,,looks dry ,Yes,moderate,
45,c4a585a5-161d-485d-8e38-f7052556d468,2024-11-10T07:46:33.000Z,2024-11-10T07:46:43.000Z,c4a585a5-161d-485d-8e38-f7052556d468,Nitin,10-11-2024,50,13:14,Kanjeda,18.456922,73.857183,3,2041119,379327,43Q,30,Native,Evergreen ,No,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=c4a585a5-161d-485d-8e38-f7052556d468_1731224739.jpg,,Looks Good ,no,moderate,Due to construction work in this area it is affecting tree here so much
46,79282cb1-e34a-4a69-a1ac-c6e80f5ee144,2024-11-10T07:45:57.000Z,2024-11-10T07:46:03.000Z,79282cb1-e34a-4a69-a1ac-c6e80f5ee144,Trupti Pundekar,10-11-2024,90,13:13,Pichkari,18.455233,73.855224,24,2040934,379119,43Q,20,Exotic ,Evergreen ,No,yes,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=79282cb1-e34a-4a69-a1ac-c6e80f5ee144_1731224736.jpg,,Looks Good ,no,moderate,Tall
47,67236487-4ec9-4d4b-9d3a-dea9946bc242,2024-11-10T07:45:56.000Z,2024-11-10T07:46:07.000Z,67236487-4ec9-4d4b-9d3a-dea9946bc242,Rohit kumbhar,10-11-2024,380,13:13,Banyan tree,18.455257,73.854927,7,2040937,379087,43Q,30,Native,Evergreen ,No,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=67236487-4ec9-4d4b-9d3a-dea9946bc242_1731224737.jpg,,Looks Good ,no,Dense,Good
48,ea3b6e30-1a30-45c4-8fd9-b9f11fc1da24,2024-11-10T07:45:16.000Z,2024-11-10T07:52:53.000Z,ea3b6e30-1a30-45c4-8fd9-b9f11fc1da24,Vijay bohra,10-11-2024,15,13:14,Jamun,18.457791,73.854233,4,2041217,379016,43Q,5,Native,Evergreen ,Yes,no,simple,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=ea3b6e30-1a30-45c4-8fd9-b9f11fc1da24_1731224695.jpg,,Looks Good ,no,Dense,Nil
49,c91bcfcc-1774-4ce8-8dab-58a17a16f1b6,2024-11-10T07:45:15.000Z,2024-11-10T07:49:34.000Z,c91bcfcc-1774-4ce8-8dab-58a17a16f1b6,Sakshika Gupta,10-11-2024,80,13:14,Altissima,18.456553,73.85732,6,2041078,379341,43Q,10,Native,Evergreen ,No,no,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=c91bcfcc-1774-4ce8-8dab-58a17a16f1b6_1731224701.jpg,,Looks Good ,no,moderate,
50,b4c2ba5d-b918-467e-9246-436baceb31e8,2024-11-10T07:45:08.000Z,2024-11-10T07:45:18.000Z,b4c2ba5d-b918-467e-9246-436baceb31e8,Souvic,10-11-2024,200,13:13,Krishnachura,18.456687,73.857225,2,2041093,379331,43Q,12,Native,Deciduous ,Yes,yes,compound,https://five.epicollect.net/api/media/bharati-vidyapeeth-tree-census-november-2024?type=photo&format=entry_original&name=b4c2ba5d-b918-467e-9246-436baceb31e8_1731224659.jpg,,Looks Good ,no,Dense,Branches are cut near construction site
